Locality,Zip code,Property type,Price,Bedrooms,Living area,Surface of the plot,Facades,Building condition,Fireplace,Equipped kitchen,Garden,Garden surface,Terrace,Terrace surface,Furnished,Swimming pool,Province,Property,Region
Brussels,1030,Apartment_Block,789000,,800.0,,2.0,To be done up,0,0,0,0.0,0,0.0,0,0,Brussels,Other,Brussels
Halle-Vilvoorde,1860,House,789000,3.0,557.0,557.0,4.0,As new,1,1,1,334.0,1,60.0,0,0,Vlaams-Brabant,House,Flanders
Hasselt,3800,House,799000,6.0,387.0,2100.0,,Good,0,0,0,0.0,0,0.0,0,0,Limburg,House,Flanders
Brugge,8340,Villa,819000,4.0,206.0,1885.0,,Just renovated,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Brussels,1150,House,825000,4.0,340.0,200.0,3.0,To be done up,0,1,0,0.0,1,6.0,0,0,Brussels,House,Brussels
Leuven,3000,Apartment_Block,850000,4.0,144.0,50.0,,Good,0,0,0,0.0,0,0.0,1,0,Vlaams-Brabant,Other,Flanders
Halle-Vilvoorde,1651,House,900000,4.0,194.0,20734.0,4.0,Good,0,1,0,0.0,0,0.0,0,0,Vlaams-Brabant,House,Flanders
Brugge,8210,House,950000,,703.0,36448.0,,To renovate,0,1,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Arlon,6700,House,975000,7.0,370.0,1575.0,4.0,As new,0,1,1,1000.0,1,40.0,0,0,Luxembourg,House,Wallonia
Veurne,8670,House,975000,9.0,412.0,429.0,3.0,As new,0,1,1,168.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Halle-Vilvoorde,1760,Villa,985000,4.0,400.0,1055.0,2.0,Not mentioned,0,1,1,522.0,1,30.0,1,1,Vlaams-Brabant,House,Flanders
Brussels,1180,House,995000,5.0,400.0,,2.0,To be done up,0,1,1,370.0,1,88.0,0,0,Brussels,House,Brussels
Brussels,1200,Apartment_Block,995000,5.0,323.0,168.0,2.0,Good,0,1,0,0.0,1,12.0,0,0,Brussels,Other,Brussels
Sint-Niklaas,9190,House,995000,3.0,288.0,2063.0,4.0,As new,0,0,0,0.0,0,0.0,0,1,Oost-Vlaanderen,House,Flanders
